e_T,perf_T,conf_T,e_total,perf_total,conf_total,e_norm,perf_norm,conf_norm,e_unnorm,perf_unnorm,conf_unnorm,e_furl,perf_furl,conf_furl
-0.016080135,0.72,-0.635526277,-1.59032531,0.54,-0.768978658,-0.304793835,0.48,-0.721782084,0.043416363,0.56,-0.446739982,-1.305360241,0.64,-0.559035278
0.075576633,0.12,-0.516721109,-0.934255819,0.3,-0.383268728,-0.059556673,0.36,-0.430465302,0.161605352,0.5,-0.168442944,-0.081709492,0.26,-0.464642131
1.436760024,0.9,0.270973432,2.770607188,0.9,0.266091028,0.087644977,0.88,0.187972561,0.573256798,0.66,-0.33932709,0.529305986,0.84,0.199364837
2.260866922,0.98,0.881273954,3.949281052,0.98,0.886156358,0.320564122,1,0.964274825,1.158573696,1,0.954510016,34.9004889,0.98,0.824312572
0.904674766,0.62,-0.238159279,0.600094498,0.66,-0.10919967,0.11028016,0.44,0.007279978,0.210062009,0.36,0.032239902,-8.046083631,0.8,-0.265199197
1.335793764,0.52,-0.063439808,1.400992074,0.82,0.102959688,0.314559185,0.48,0.514798442,0.482621805,0.62,0.144559563,-1.058254502,0.68,0.154959531
1.515764245,0.78,0.285999134,2.007452087,0.66,0.055119833,0.504103699,0.9,-0.294319109,0.822887538,0.96,0.213199355,-0.440771887,0.66,0.129999607
2.264580331,0.84,0.015599953,2.914827375,0.62,-0.048879852,1.845965593,0.94,-0.227759311,1.397519974,0.82,-0.38999882,3.186873728,0.62,-0.01975994
0.600496045,0.44,-0.594483125,-0.121889679,0.56,-0.307593259,-1.468241948,0.62,0.153796629,0.185933408,0.46,0.360830553,-2.878658534,0.78,-0.118305099
1.517767526,0.4,0.63588991,1.156918985,0.9,-0.278016984,0.112461452,0.42,0.248440709,0.330548282,0.46,-0.275059356,-0.830614119,0.62,-0.103516962
1.732623909,0.9,0.201118669,2.386145407,0.36,0.159711884,0.399292763,0.44,-0.195203414,0.621843955,0.42,-0.150839002,-0.30125327,0.46,-0.248440709
1.83385432,0.6,-0.242525454,3.266230207,0.52,0.425898358,2.305137256,0.86,-0.207033924,1.442016878,1,0.065067805,1.324349368,0.48,0.47026277
1.092177085,0.3,0.081117941,0.777001722,0.46,0.277767495,0.06886592,0.66,0.159777763,0.111852455,0.72,0.189275196,-14.10593289,0.48,0.100782896
1.191104367,0.66,0.081117941,1.465515724,0.36,-0.036871791,0.157886654,0.3,-0.204023912,0.238618571,0.26,0.159777763,-0.4556634,0.44,-0.21385639
1.399398495,0.66,-0.174526479,1.969100333,0.56,-0.056536747,0.266355667,0.4,0.081117941,0.456358017,0.38,-0.145029046,-0.143356386,0.46,0.317097406
1.68574078,0.18,0.012290597,2.780900597,0.42,-0.184358957,0.538869393,0.44,-0.036871791,0.721821178,0.44,-0.204023912,5.78091751,0.42,-0.204023912
0.93596797,0.76,-0.099334008,0.567465611,0.76,0.134393069,-0.039452225,0.7,0.177448057,0.075662081,0.74,0.209431762,-1.245317403,0.9,0.086417511
1.173162591,0.84,-0.122706715,1.291659819,0.82,-0.180523413,0.156212959,0.62,-0.16453156,0.295442413,0.5,-0.53726474,-0.406151454,0.8,0.000307536
1.466203033,0.62,-0.254331964,1.796674187,0.76,0.065505089,0.307176,0.8,-0.240800396,0.447367069,0.8,-0.034136455,-0.133211327,0.68,0.074116086
1.607919312,0.82,0.476372686,2.895575846,0.7,-0.019374745,1.262168275,0.92,0.2278839,0.675554298,1,0.361969433,11.55343706,0.66,-0.160841133
-0.013222058,0.42,-0.249194372,-0.950786185,0.4,-0.099236697,-0.420020372,0.42,-0.099236697,0.051686228,0.34,-0.130110336,-3.9173398,0.42,0.094826177
0.112988497,0.32,0.081594618,-0.426711878,0.34,-0.068363058,-0.094110917,0.32,-0.068363058,0.185108815,0.36,-0.099236697,-0.607970067,0.4,-0.090415657
2.055429048,0.48,0.112468257,2.775430217,0.44,0.050720978,0.097693457,0.48,-0.077184098,0.436327921,0.52,0.0110263,-0.194115422,0.36,0.086005137
2.554261244,0.36,0.055131498,4.249088704,0.4,0.116878776,0.412396219,0.36,0.244783853,1.134692995,0.36,0.218320733,12.09852092,0.4,-0.090415657
-0.295705157,0.38,-0.150443582,-2.168729269,0.44,-0.014192791,-1.525756743,0.86,-0.176936791,0.032369094,0.3,0.371851117,-1.051581906,0.86,-0.176936791
0.547914344,0.88,-0.08610293,-0.875988595,0.82,-0.222353721,-0.135312346,0.4,-0.059609721,0.100141883,0.62,-0.24884693,-0.222648973,0.4,-0.059609721
1.265092074,0.56,0.095564791,2.849491769,0.46,0.159905442,0.0099871,0.32,0.322649442,0.283229569,0.52,-0.014192791,0.049393946,0.42,0.182613907
1.296449633,0.46,0.140981721,3.371443402,0.56,0.07664107,0.038280746,0.7,-0.08610293,0.973095876,0.84,-0.108811395,0.266574934,0.6,0.053932605
0.322273065,0.44,-0.11233706,-0.424326202,0.48,-0.188497779,-0.287472527,0.5,-0.066640629,0,0.38,0.001904018,-4.568134199,0.52,0.248157009
0.869063032,0.7,-0.043792413,0.94426008,0.66,0.012058781,0.077183081,0.44,-0.013328126,0.341609449,0.74,-0.135185276,-1.228266955,0.66,-0.239271592
1.994870272,0.76,-0.03109896,2.220461417,0.74,-0.041253723,0.365457499,0.42,0.039984377,1.021605616,0.34,-0.117414442,-0.174021053,0.52,-0.099643607
