e_T,perf_T,conf_T,e_total,perf_total,conf_total,e_norm,perf_norm,conf_norm,e_unnorm,perf_unnorm,conf_unnorm
0.687807405,0.22,-0.171078968,-0.316601985,0.28,-0.041363387,-2.234410127,0.28,-0.134017374,0.155729978,0.3,-0.03871613
1.435605132,0.86,0.094970336,1.304605857,0.94,0.714428419,0.114289087,0.58,-0.374917739,0.405485604,0.7,-0.212111448
1.630267605,0.5,-0.813038734,2.304362936,0.8,-0.110192063,0.453763811,0.94,0.05923237,0.841823374,0.58,-0.549636686
2.004166468,1,0.889147365,3.219643847,0.56,-0.562872969,4.639297717,0.78,0.449702743,1.80705541,1,0.800464264
0.964620053,0.52,-0.039770385,0.412455674,0.64,-0.073859287,-0.392366403,0.66,-0.051133353,0.249029841,0.58,0.107948189
1.371517025,0.96,-0.184648218,1.379669787,0.84,-0.039770385,0.316205818,0.84,-0.059655578,0.580328468,0.92,-0.258507505
1.698368691,0.98,0.224418603,2.15788804,0.9,0.23578157,0.609288032,0.86,0.002840742,0.888280548,0.86,-0.019885193
1.954068973,0.78,4.49E-16,2.901642341,0.86,-0.122151898,3.72735355,0.88,0.107948189,1.366328903,0.88,0.170444509
0.669555875,0.54,0.276207129,-0.047915964,0.36,0.31177505,-1.426776883,0.42,0.020562704,0.065409093,0.34,-0.186175832
0.988995634,0.36,-0.103925017,0.843473077,0.34,0.118374484,0.093882318,0.6,-0.159499892,0.132339329,0.72,0.031677679
1.10156012,0.32,0.076137579,2.002583058,0.68,0.085029559,0.300946662,0.76,-0.168391872,0.399299698,0.16,0.402917845
2.052273688,0.96,-0.248419692,3.179186169,0.8,-0.515179093,1.224105966,0.4,0.30732906,1.021446657,0.96,-0.248419692
0.8486148,0.78,-0.713763526,0.167674759,0.78,-0.660492219,-1.188935255,0.68,-0.566907491,0.169757675,0.6,-0.67201034
1.203752023,0.76,-0.535232659,1.158101441,0.84,0.155854567,0.224586198,0.8,-0.051471601,0.390546799,0.76,-0.706564701
1.633874231,0.8,0.343024024,1.893891611,0.9,0.337264964,0.452573499,0.92,0.397735097,0.7524535,0.94,0.368939795
1.915067926,0.96,0.905972161,2.910875476,0.78,0.167372688,2.032490663,0.9,0.220643995,1.23673153,1,1.009635245
-0.082657987,0.66,-1.027150638,-1.579373423,0.76,-0.708364397,-1.048599123,0.94,0.446567876,0.083090751,0.62,0.151824173
0.461975922,0.96,0.419853945,-0.717306877,0.86,0.101067705,-0.122206009,0.68,-1.053864569,0.153847719,0.4,-0.514243167
1.477890187,0.48,0.106410491,2.956213139,0.68,0.291627078,0.029597575,0.52,0.271146397,0.253167133,0.82,0.005788018
1.599929728,0.74,0.500886202,3.690397825,0.54,0.315669615,0.071363479,0.7,0.336150295,0.634865272,1,0.356630976
-0.009869802,0.7,-0.790087785,-1.014267313,0.7,-0.788987767,-0.168003761,0.68,-0.838488568,0.062121696,0.64,-0.743887037
1.110062451,0.76,0.214228467,0.474911655,0.84,-0.521683442,0.043391899,0.68,0.161427612,0.203201808,0.72,0.104226687
1.674963479,0.88,0.086626402,2.581243544,0.86,0.851138773,0.18474034,1,0.584934465,0.645601174,1,0.54753386
2.262506993,1,0.489232916,3.819613423,0.94,0.459532436,2.008141215,0.98,0.092126491,1.573362574,0.98,0.092126491
0.630687961,0.44,-0.310643147,-0.235827713,0.7,0.002720168,-0.771581142,0.66,-0.314995415,0.210430883,0.52,-0.173546697
0.944520226,0.98,0.078884862,1.153741735,0.84,0.107174606,0.2236368,0.74,-0.382455573,0.402721172,0.92,-0.147433087
1.648375246,0.7,-0.541313364,1.924716951,0.7,0.03536218,0.545371308,0.88,0.028833777,0.729251852,0.7,-0.521728157
2.125472851,0.96,0.773071649,2.817234143,0.84,-0.145256953,2.752278945,0.8,0.668617211,1.625397162,0.94,0.842707941
-0.107477089,0.74,-0.224445415,-1.810011881,0.84,-0.136654957,-0.371506985,0.94,-0.131685686,0.056932794,0.78,-0.375179973
0.100524899,0.96,-0.103526483,-0.764928721,0.86,-0.19131694,-0.062703496,0.76,-0.196286211,0.211947825,0.62,-0.328800109
1.194649179,0.48,-0.673336244,2.461638705,0.58,-0.423216261,0.081856078,0.52,-0.665054125,0.338214615,0.8,-0.313892296
1.97648863,0.94,1.001308141,3.620023761,0.84,0.751188159,0.279282079,0.9,0.993026022,0.92388959,0.92,1.017872378
1.07538727,0.56,-0.051611305,1.016410855,0.58,-0.117877671,0.091429399,0.42,0.0299473,0.184801974,0.4,-0.021026828
1.408528048,0.4,-0.648008604,1.658245513,0.66,-0.400784083,0.246860112,0.5,-0.023575534,0.403995346,0.38,-0.143364735
1.800507122,0.8,0.282269235,2.329084965,0.74,0.261879583,0.471349734,0.86,0.121700731,0.852740946,0.98,-0.250410405
2.301046997,1,0.417350674,2.869817197,0.78,0.256782171,0.744028658,0.98,-0.128072497,1.393887533,1,0.414801968
0.277662884,0.18,0.119133027,-0.629008017,0.18,0.119133027,-1.397063683,0.26,0.119133027,0.123526122,0.26,0.114207631
1.234177659,0.36,0.180700483,0.974393556,0.52,-0.189935602,0.207086409,0.62,0.130215169,0.58674908,0.54,0.18562588
1.912758659,0.92,0.135140566,2.026803609,0.82,-0.064337992,0.490391592,0.88,0.181931833,0.966266837,0.66,0.135140566
2.114301279,0.88,-0.434974077,3.296197049,0.82,0.135140566,2.583084268,0.58,-0.431280029,1.898401456,0.88,-0.434974077
-0.107477089,0.74,-0.224445415,-1.810011881,0.84,-0.136654957,-0.371506985,0.94,-0.131685686,0.056932794,0.78,-0.375179973
0.100524899,0.96,-0.103526483,-0.764928721,0.86,-0.19131694,-0.062703496,0.76,-0.196286211,0.211947825,0.62,-0.328800109
1.194649179,0.48,-0.673336244,2.461638705,0.58,-0.423216261,0.081856078,0.52,-0.665054125,0.338214615,0.8,-0.313892296
1.97648863,0.94,1.001308141,3.620023761,0.84,0.751188159,0.279282079,0.9,0.993026022,0.92388959,0.92,1.017872378
