e_T,perf_T,conf_T,e_total,perf_total,conf_total,e_norm,perf_norm,conf_norm,e_unnorm,perf_unnorm,conf_unnorm
60.08,0.22,81.92,147.84,0.28,83.88,0.011613871,0.3,84.96,2.12,0.3,83.92
70.26,0.86,85.94,169.91,0.94,95.3,0.032043244,0.72,79.9,5.52,0.7,81.3
72.91,0.5,72.22,183.52,0.8,82.84,0.068179003,0.64,79.3,11.46,0.58,76.2
78,1,97.94,195.98,0.56,76,0.147534722,0.92,93.86,24.6,1,96.6
62.96,0.52,63.7,166.56,0.64,63.36,0.012409342,0.58,64.5,2.24,0.58,64.74
66.62,0.96,62.68,175.26,0.84,63.8,0.028762028,0.86,62.88,5.22,0.86,62.58
69.56,0.98,65.56,182.26,0.9,65.64,0.045476837,0.88,63.92,7.99,0.92,63.84
71.86,0.78,63.98,188.95,0.86,63.12,0.06882186,0.92,64.62,12.29,0.88,64.76
47.32,0.54,95.84,114.92,0.36,96.16,0.006337504,0.46,91.8,0.86,0.44,91.58
51.52,0.36,92.42,126.64,0.34,94.42,0.013708948,0.6,93.72,1.74,0.62,93.74
53,0.32,94.04,141.88,0.68,94.12,0.042128693,0.16,96.78,5.25,0.16,96.98
65.5,0.96,91.12,157.35,0.8,88.72,0.087016163,0.96,91.12,13.43,0.96,91.12
69.18,0.78,74.76,161.87,0.78,75.5,0.018022935,0.58,75.32,3.26,0.6,75.34
76,0.76,77.24,180.89,0.84,86.84,0.040571936,0.78,76.72,7.5,0.76,74.86
84.26,0.8,89.44,195.02,0.9,89.36,0.073529909,0.94,89.72,14.45,0.94,89.8
89.66,0.96,97.26,214.55,0.78,87,0.127445161,1,96.94,23.75,1,98.7
46.76,0.66,47.54,119.77,0.76,54.7,0.006784635,0.64,75.26,1.28,0.66,73.6
55.15,0.96,80.04,133.05,0.86,72.88,0.014471786,0.46,76.64,2.37,0.4,61.9
70.8,0.48,73,189.64,0.68,77.16,0.025042872,0.74,51.48,3.9,0.78,68.32
72.68,0.74,81.86,200.95,0.54,77.7,0.074790021,1,79.06,9.78,1,78.62
30.98,0.7,58.64,75.98,0.7,58.66,0.011624841,0.58,59.44,1.07,0.6,59.58
50.27,0.76,76.9,101.63,0.84,63.52,0.03358293,0.78,79.88,3.5,0.76,74.8
60,0.88,74.58,137.91,0.86,88.48,0.0720746,1,78.02,11.12,1,82.96
70.12,1,81.9,159.24,0.94,81.36,0.2405332,0.98,74.68,27.1,0.98,74.68
54.96,0.44,66.9,153.15,0.7,69.78,0.007138223,0.52,67.64,1.16,0.5,68.14
56.69,0.98,70.48,160.81,0.84,70.74,0.013733561,0.74,65.86,2.22,0.84,67.62
60.57,0.7,64.78,165.06,0.7,70.08,0.025109235,0.86,67.94,4.02,0.8,65.76
63.2,0.96,76.86,169.98,0.84,68.42,0.054368866,0.96,77.58,8.96,0.94,77.5
47.11,0.74,80.24,114.94,0.84,81.3,0.006416399,0.62,76.44,1.01,0.78,78.42
50.8,0.96,81.7,133.48,0.86,80.64,0.024936978,0.72,78.78,3.76,0.64,78.76
70.21,0.48,74.82,190.72,0.58,77.84,0.041741413,0.78,79.54,6,0.78,79.38
84.08,0.94,95.04,211.27,0.84,92.02,0.080687675,1,97.04,16.39,0.92,95.24
61.42,0.56,93.32,130.93,0.6,93.12,0.028160063,0.42,93.66,4.46,0.4,93.56
69.46,0.4,88.64,146.42,0.64,90.26,0.065943259,0.4,93.66,9.75,0.38,92.6
78.92,0.8,95.94,162.61,0.74,95.78,0.134264055,0.94,90.76,20.58,0.98,91.76
91,1,97,175.66,0.78,95.74,0.210507342,1,96.82,33.64,1,96.98
31.5,0.18,98.92,76.51,0.18,98.92,0.018037456,0.26,98.84,1.52,0.26,98.84
43.27,0.36,99.92,96.24,0.52,93.9,0.066184263,0.66,99.18,7.22,0.54,100
51.62,0.92,99.18,109.19,0.82,95.94,0.113662136,0.66,100,11.89,0.66,99.18
54.1,0.88,89.92,124.81,0.82,99.18,0.231506923,0.76,89.92,23.36,0.88,89.92
47.11,0.74,80.24,114.94,0.84,81.3,0.006416399,0.62,76.44,1.01,0.78,78.42
50.8,0.96,81.7,133.48,0.86,80.64,0.024936978,0.72,78.78,3.76,0.64,78.76
70.21,0.48,74.82,190.72,0.58,77.84,0.041741413,0.78,79.54,6,0.78,79.38
84.08,0.94,95.04,211.27,0.84,92.02,0.080687675,1,97.04,16.39,0.92,95.24
